Incomplete,Date,Sessions,% of Sessions
,25/04/2015 0:00,14089,0.10%
,24/04/2015 0:00,11700, <0.1% 
,23/04/2015 0:00,9221, <0.1% 
,22/04/2015 0:00,9071, <0.1% 
,21/04/2015 0:00,8828, <0.1% 
,20/04/2015 0:00,8983, <0.1% 
,19/04/2015 0:00,12615,0.10%
,18/04/2015 0:00,14641,0.10%
,17/04/2015 0:00,11485, <0.1% 
,16/04/2015 0:00,9459, <0.1% 
,15/04/2015 0:00,8973, <0.1% 
,14/04/2015 0:00,9007, <0.1% 
,13/04/2015 0:00,9535, <0.1% 
,12/04/2015 0:00,12440,0.10%
,11/04/2015 0:00,14117,0.10%
,10/04/2015 0:00,12595,0.10%
,09/04/2015 0:00,10729, <0.1% 
,08/04/2015 0:00,10447, <0.1% 
,07/04/2015 0:00,10450, <0.1% 
,06/04/2015 0:00,10870, <0.1% 
,05/04/2015 0:00,13109,0.10%
,04/04/2015 0:00,14578,0.10%
,03/04/2015 0:00,14878,0.10%
,02/04/2015 0:00,11025, <0.1% 
,01/04/2015 0:00,10024, <0.1% 
,31/03/2015 0:00,10154, <0.1% 
,30/03/2015 0:00,9933, <0.1% 
,29/03/2015 0:00,12607,0.10%
,28/03/2015 0:00,13155,0.10%
,27/03/2015 0:00,11360, <0.1% 
,26/03/2015 0:00,10144, <0.1% 
,25/03/2015 0:00,9402, <0.1% 
,24/03/2015 0:00,9079, <0.1% 
,23/03/2015 0:00,9504, <0.1% 
,22/03/2015 0:00,12940,0.10%
,21/03/2015 0:00,15210,0.10%
,20/03/2015 0:00,12217,0.10%
,19/03/2015 0:00,10060, <0.1% 
,18/03/2015 0:00,9627, <0.1% 
,17/03/2015 0:00,9239, <0.1% 
,16/03/2015 0:00,9588, <0.1% 
,15/03/2015 0:00,12931,0.10%
,14/03/2015 0:00,16224,0.10%
,13/03/2015 0:00,12783,0.10%
,12/03/2015 0:00,10422, <0.1% 
,11/03/2015 0:00,9950, <0.1% 
,10/03/2015 0:00,10602, <0.1% 
,09/03/2015 0:00,10081, <0.1% 
,08/03/2015 0:00,13838,0.10%
,07/03/2015 0:00,16076,0.10%
,06/03/2015 0:00,13780,0.10%
,05/03/2015 0:00,11959,0.10%
